Eviction ID,Address,City,State,Year,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Reason
M120672,200 Block Of Charter Oak  Avenue,San Francisco,CA,2012,94124,05/10/2012,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,10,Bayview Hunters Point,"(37.7337250060393, -122.404497404808)",Breach
M111552,0 Block Of Grijalva  Drive,San Francisco,CA,2011,94132,09/22/2011,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,7,Lakeshore,"(37.7168961959236, -122.478594372032)",Breach
M110768,0 Block Of Fuente  Avenue,San Francisco,CA,2011,94132,05/12/2011,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,7,Lakeshore,"(37.7193975437719, -122.477992700396)",Breach
M132297,300 Block Of Rolph  Street,San Francisco,CA,2013,94112,11/13/2013,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,11,Excelsior,"(37.7130647601305, -122.435701052222)",Breach
M110299,2800 Block Of Baker  Street,San Francisco,CA,2011,94123,03/08/2011,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,2,Marina,"(37.7969832257706, -122.445713338014)",Multiple
M152093,700 Block Of Corbett  Avenue,San Francisco,CA,2015,94131,08/10/2015,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,08/04/2018,8,Twin Peaks,"(37.7552854402687, -122.442400039028)",Owner Move In
M150032,1600 Block Of 25th  Avenue,San Francisco,CA,2015,94122,02/02/2015,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,01/30/2018,4,Sunset/Parkside,"(37.7567511437031, -122.483167036744)",Owner Move In
M120196,0 Block Of Carl  Street,San Francisco,CA,2012,94117,02/10/2012,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,5,Haight Ashbury,"(37.7659903595282, -122.448901936836)",Roommate Same Unit
M121412,1100 Block Of Market  Street,San Francisco,CA,2012,94103,08/16/2012,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,6,South of Market,"(37.7795310847755, -122.413542549251)",Development
M152964,200 Block Of Green  Street,San Francisco,CA,2015,94133,10/30/2015,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,,3,North Beach,"(37.8001897776886, -122.403986864326)",Other Cause
