eviction_id,address,zip,file date,year,reason,latitude,longitude,supervisor_district,neighborhood
M151154,300 Block of Lansdale Avenue,94127,5/11/15,2015,Breach,37.73625206,-122.4592615,7,West of Twin Peaks
M151154,300 Block of Lansdale Avenue,94127,5/11/15,2015,Access Denial,37.73625206,-122.4592615,7,West of Twin Peaks
M151145,,94102,5/11/15,2015,Breach, QNAN,#VALUE!,,
M151151,1100 Block of Mendell Street,94124,5/11/15,2015,Roommate Same Unit,37.73613752,-122.3888802,10,Bayview Hunters Point
M151150,1100 Block of Mendell Street,94124,5/11/15,2015,Roommate Same Unit,37.73613752,-122.3888802,10,Bayview Hunters Point
M151156,1200 Block of De Haro Street,94107,5/11/15,2015,Owner Move In,37.75397781,-122.4006331,10,Potrero Hill
M151118,200 Block of Sawyer Street,94134,5/11/15,2015,Breach,37.71466877,-122.4138122,10,Visitacion Valley
M151118,200 Block of Sawyer Street,94134,5/11/15,2015,Nuisance,37.71466877,-122.4138122,10,Visitacion Valley
M151118,200 Block of Sawyer Street,94134,5/11/15,2015,Illegal Use,37.71466877,-122.4138122,10,Visitacion Valley
M151117,200 Block of Sawyer Street,94134,5/11/15,2015,Non Payment,37.71466877,-122.4138122,10,Visitacion Valley
M151158,400 Block of Crestmont Drive,94131,5/11/15,2015,Owner Move In,37.75878137,-122.4594173,7,Inner Sunset
M151149,2600 Block of 30th Avenue,94116,5/11/15,2015,Breach,37.7382472,-122.4875142,4,Sunset/Parkside
M151159,1200 Block of 34th Avenue,94122,5/11/15,2015,Owner Move In,37.76379617,-122.4931957,4,Sunset/Parkside
M151096,1000 Block of Girard Street,94134,5/11/15,2015,Owner Move In,37.71959983,-122.4012853,10,Portola
M151157,1600 Block of Leavenworth Street,94109,5/11/15,2015,Owner Move In,37.79634413,-122.4168588,3,Russian Hill
M151148,100 Block of Pierce Street,94117,5/11/15,2015,Nuisance,37.77123041,-122.4335726,5,Haight Ashbury
M151147,600 Block of Church Street,94114,5/11/15,2015,Non Payment,37.76008719,-122.4283093,8,Castro/Upper Market
M151146,3500 Block of Taraval Street,94116,5/11/15,2015,Nuisance,37.74184378,-122.5040886,4,Sunset/Parkside
M151146,3500 Block of Taraval Street,94116,5/11/15,2015,Illegal Use,37.74184378,-122.5040886,4,Sunset/Parkside
M151153,2600 Block of Hyde Street,94109,5/11/15,2015,Breach,37.80546968,-122.4203877,2,Russian Hill
M151095,400 Block of 34th Avenue,94121,5/11/15,2015,Owner Move In,37.78061038,-122.4945193,1,Outer Richmond
M151172,1800 Block of Pacific Avenue,94118,5/11/15,2015,Nuisance,37.7944482,-122.4256819,2,Pacific Heights
M151098,700 Block of Foerster Street,94127,5/11/15,2015,Owner Move In,37.73404479,-122.4488165,7,West of Twin Peaks
M151136,400 Block of Fell Street,94102,5/8/15,2015,Breach,37.77569345,-122.4252088,5,Hayes Valley
